REF. HESPERIA,cleaned
TE.02.263,['ls']
TE.02.264,['ls']
TE.02.265,['lti']
TE.02.266a,['bo']
TE.02.267,"['ḿs', '']"
TE.02.268,"['ḿs', '']"
TE.02.269,['ḿti']
TE.02.270,['nl']
TE.02.271,['nl']
TE.02.272a,['nḿ']
TE.02.273a,['be']
TE.02.274,['oa']
TE.02.275,['oa']
TE.02.276a,['sn']
TE.02.277,['sŕ']
TE.02.278,['ss']
TE.02.279,['śn']
TE.02.280a,['o']
TE.02.281a,['n']
TE.02.282a,['ba']
TE.02.283a,['be']
TE.02.284a,['be']
TE.02.285a,['tutu']
TE.02.286,['u+']
TE.02.287,['baboŕote nbotenin']
TE.02.288,['aibekeŕeś']
TE.02.289,['boka']
TE.02.290,['eskeŕ']
TE.02.291a,['etaute']
TE.02.292,['kalta']
TE.02.293,['keno']
TE.02.294,['bateba']
TE.02.295,['oto']
TE.02.296,['aś']
TE.02.297,['au']
TE.02.298,['ban']
TE.02.299,['ne']
TE.02.302,['tai']
TE.02.303,['tai']
TE.02.304,['tai']
TE.02.305,['taŕ']
TE.02.306,['boe']
TE.02.307,['lś']
TE.02.308a,['baśtaŕtine aiuneskeŕ']
TE.02.309,"['antu', '']"
TE.02.310,['an']
TE.02.311a,['ta']
TE.02.312a,"['baŕboŕ', '']"
TE.02.313a,['baŕboŕ']
TE.02.314a,['baŕur']
TE.02.315a,['baśn']
TE.02.316a,['nḿ']
TE.02.317a,['bateba']
TE.02.318,"['belenos', '']"
TE.02.319,['belenos']
TE.02.320,['bie']
TE.02.321a,['biti']
TE.02.322a,['ekośonar']
TE.02.323,['biuŕ+']
TE.02.324,['ekośonar']
TE.02.325a,['iko']
TE.02.326,['ikusau']
TE.02.327,['is']
TE.02.328,['kaŕ']
TE.02.329,['kotaba +']
TE.02.330a,['kun']
TE.02.331a,['kun']
TE.02.332a,"['le', '']"
TE.02.333,['oti']
TE.02.334,['tanl']
TE.02.335a,['taŕ']
TE.02.337,['tasbarikibaś']
TE.02.338,['taś']
TE.02.336,['taŕ']
TE.02.339,['taute']
TE.02.340a,['ar']
TE.02.341,['tau']
TE.02.342,['tikaḿi']
TE.02.344,['ua']
TE.02.345,['uba']
TE.02.346,['uba']
TE.02.347,['ls']
TE.02.348,['ls']
TE.02.349,['ns']
TE.02.350a,['sl']
TE.02.351,['śŕ']
TE.02.438,['abar']
TE.02.439,['an']
TE.02.440,['ati']
TE.02.441,['bai']
TE.02.442,['bal']
TE.02.443,['bar']
TE.02.445,['keŕ']
TE.02.446,['ol']
TE.02.447,['os']
TE.02.448,['si']
TE.02.449,['taba']
TE.02.450,['taś']
TE.02.451,['aa']
TE.02.452,['oa']
TE.02.453,['bakina']
TE.02.122,['bos']
TE.02.018b,['ko']
TE.02.024b,['abo']
TE.02.024c,['be']
TE.02.026b,['ke +']
TE.02.027b,['l']
TE.02.028b,['ḿ']
TE.02.029b,['l']
TE.02.039b,['si']
TE.02.040b,['ako']
TE.02.046b,['u']
TE.02.062b,['ota']
TE.02.063b,['i']
TE.02.063c,['bako']
TE.02.064b,['bai']
TE.02.064c,['l']
TE.02.065b,['to']
TE.02.066b,"['balte', '']"
TE.02.068b,['tan']
TE.02.074b,['tu']
TE.02.077b,['u']
TE.02.080b,['a']
TE.02.082b,['tan']
TE.02.085b,['bateba']
TE.02.089b,['tu']
TE.02.089c,['bati']
TE.02.091b,['tan']
TE.02.093b,['e']
TE.02.095b,"['belḿ', '']"
TE.02.102b,['il']
TE.02.105b,['ban']
TE.02.105c,['ba']
TE.02.116c,['bas']
TE.02.116b,['bokau']
TE.02.117b,['keka+']
TE.02.124c,['ki']
TE.02.124b,['r']
TE.02.128c,['be']
TE.02.128b,['ba']
TE.02.129B,['be']
TE.02.130b,['be']
TE.02.133b,['s']
TE.02.142c,['ta']
TE.02.142b,['nba']
TE.02.145b,['ken']
TE.02.153b,['+i']
TE.02.158b,['kuḿ']
TE.02.162b,['oŕ']
TE.02.162c,['oŕ']
TE.02.164b,['te']
TE.02.165b,['la']
TE.02.174b,['bo+']
TE.02.176b,['taŕ']
TE.02.180c,['s']
TE.02.180b,['ir']
TE.02.185d,['ś']
TE.02.185c,['ne']
TE.02.185b,['si']
TE.02.187b,['oto']
TE.02.198b,['ta']
TE.02.212b,['tata']
TE.02.213c,['tu']
TE.02.213b,['baboe']
TE.02.214b,['babo']
TE.02.215b,['be']
TE.02.219b,['tau']
TE.02.222c,['i']
TE.02.222b,['a']
TE.02.227b,['be']
TE.02.229b,['ŕ']
TE.02.230b,['be']
TE.02.231b,['i']
TE.02.241b,['++']
TE.02.245b,['ta']
TE.02.251d,['bo']
TE.02.251c,['baa']
TE.02.251b,['l']
TE.02.261b,['i']
TE.02.266b,['ltu']
TE.02.272b,['i']
TE.02.273b,['nḿ']
TE.02.276d,['bo']
TE.02.276c,['ba +']
TE.02.276b,['s']
TE.02.280c,['a +']
TE.02.280b,['l']
TE.02.281b,['a']
TE.02.282b,['ti+']
TE.02.282c,['+']
TE.02.283b,['tu']
TE.02.284b,['+']
TE.02.291b,['etaute']
TE.02.308b,['taŕ']
B.41.08,['toke+---']
TE.02.311b,['aŕ']
TE.02.312d,['tu']
TE.02.312c,['te']
TE.02.312b,['te']
TE.02.313b,['baboŕa']
TE.02.314b,['tatako+']
TE.02.315b,['iko']
TE.02.316d,['tebi']
TE.02.316c,['bate']
TE.02.316b,['beu']
TE.02.317b,['beiko']
TE.02.321b,['sś']
TE.02.322c,['biuŕtaneke']
TE.02.322b,['ako+ŕ+']
TE.02.325b,['ka']
V.06.003,['']
TE.02.330b,"['be', 'n I I', 'n I I I']"
TE.02.331b,['ss']
TE.02.340b,['tau']
TE.02.078b,['bas']
TE.02.194b,['A']
TE.02.208,['tan']
TE.02.332c,"['le', '']"
TE.02.462,['ai']
TE.02.463,['os']
TE.02.454,['abaio']
TE.02.455,['la']
TE.02.456,"['', 'ui', 'l']"
TE.02.464,['l']
TE.02.466,['ko ko']
TE.02.457,['al']
TE.02.458,['+:o']
TE.02.460,['+ui']
TE.02.086b,['bateba']
TE.02.285b,['tutu']
TE.02.465,['aboki']
SP.01.07,['++sin?le-binkor:iuśti?:tarbinbaleś:kooo:aŕakotaŕ-laŕ:aianetin?+talabin:ireba:aś?:sinbitai:aia-eia:boa:bíDkín:selkí:-eśeśanbiabiHkaŕes?en']
CS.02.02,['+ututer']
CS.02.03,['kike']
L.17.01,['-ŕtilakó:istikanir:ibeŕtaneś:oŕtin+keŕ']
MU.06.03,['+el']
AB.02.01,"['', '+biśba?is?ka?', '']"
T.06.11,['lauŕtao']
